"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 14 07:38:51 BRT 2021","Wed Jul 14 07:39:10 BRT 2021","18920","","Should test the contract feature","","","","Should create a new Contract",""
"passed","Wed Jul 14 07:40:35 BRT 2021","Wed Jul 14 07:40:54 BRT 2021","19156","","Should test at a functional level","","","","Should create a new Contract",""
